GMT_timestamp,local_timestamp,link,calibration,id,,,,,,,,,,,,,,
2020-07-26_22:28:43,2020-07-27_10:28:43,https://www.testable.org/experiment/2590/264248/start,0.9,ella,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,test,type,trialNo,stim1,stimFormat,condition1,random,keyboard,key,ITI,counterTrial,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
167,motion_coherence,test,79,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,317345,left,775,1
154,motion_coherence,test,66,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,319536,right,1163,1
151,motion_coherence,test,63,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,321448,left,891,1
98,motion_coherence,test,10,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,323528,right,1054,0
159,motion_coherence,test,71,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,325352,left,790,0
164,motion_coherence,test,76,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,327738,left,1354,1
150,motion_coherence,test,62,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,329896,left,1128,1
121,motion_coherence,test,33,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,332168,right,1248,1
158,motion_coherence,test,70,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,334848,left,1659,0
92,motion_coherence,test,4,right_20,.mp4,0.2,1,"left right",right,1000,1,1001,60,16.68,337088,right,1213,1
140,motion_coherence,test,52,right_20,.mp4,0.2,1,"left right",right,1000,1,1001,60,16.68,339401,right,1291,1
90,motion_coherence,test,2,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,341720,right,1290,1
163,motion_coherence,test,75,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,343840,left,1090,1
111,motion_coherence,test,23,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,345704,right,835,1
96,motion_coherence,test,8,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,347914,right,1176,1
138,motion_coherence,test,50,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,350112,right,1173,1
129,motion_coherence,test,41,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,352672,left,1529,1
132,motion_coherence,test,44,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,354960,right,1264,0
145,motion_coherence,test,57,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,357360,left,1380,1
142,motion_coherence,test,54,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,359400,right,1016,1
119,motion_coherence,test,31,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,361216,left,779,1
107,motion_coherence,test,19,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,363424,right,1186,1
152,motion_coherence,test,64,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,365608,left,1151,1
149,motion_coherence,test,61,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,367984,right,1341,0
117,motion_coherence,test,29,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,369913,left,902,1
156,motion_coherence,test,68,right_20,.mp4,0.2,1,"left right",right,1000,1,1001,60,16.68,372344,right,1396,1
105,motion_coherence,test,17,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,374762,right,1395,1
166,motion_coherence,test,78,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,377000,left,1214,1
101,motion_coherence,test,13,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,379192,right,1174,0
131,motion_coherence,test,43,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,381352,left,1128,1
157,motion_coherence,test,69,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,383488,right,1110,1
110,motion_coherence,test,22,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,385801,right,1289,1
139,motion_coherence,test,51,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,388176,right,1343,1
141,motion_coherence,test,53,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,390312,left,1112,0
162,motion_coherence,test,74,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,392450,left,1114,1
93,motion_coherence,test,5,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,394552,right,1081,1
118,motion_coherence,test,30,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,396720,left,1147,1
133,motion_coherence,test,45,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,398840,right,1097,0
143,motion_coherence,test,55,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,400762,right,900,1
127,motion_coherence,test,39,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,402848,right,1051,1
112,motion_coherence,test,24,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,404976,left,1091,0
137,motion_coherence,test,49,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,407320,right,1316,1
134,motion_coherence,test,46,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,409424,left,1069,1
155,motion_coherence,test,67,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,411760,right,1302,1
120,motion_coherence,test,32,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,414130,right,1336,0
